osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,727416420,yes,1990.0,51.244366,71.373147,44.6,,manual,https://www.openstreetmap.org/way/727416420
way,1104676425,yes,1984.0,51.204052,71.453099,44.5,,manual,https://www.openstreetmap.org/way/1104676425
way,545192466,garage,1982.0,51.154336,71.568058,44.5,,manual,https://www.openstreetmap.org/way/545192466
way,258628233,yes,1981.0,51.156893,71.55885,44.5,,manual,https://www.openstreetmap.org/way/258628233
way,426120432,yes,1979.0,51.168303,71.393101,44.5,,manual,https://www.openstreetmap.org/way/426120432
way,1513408219,yes,1976.0,51.114085,71.539116,44.5,,manual,https://www.openstreetmap.org/way/1513408219
way,921923766,yes,1976.0,51.156231,71.510729,44.5,,manual,https://www.openstreetmap.org/way/921923766
way,1100946340,yes,1975.0,51.156805,71.502339,44.4,,manual,https://www.openstreetmap.org/way/1100946340
way,258143092,yes,1975.0,51.164658,71.47166,44.4,,manual,https://www.openstreetmap.org/way/258143092
way,1076781726,yes,1970.0,51.140565,71.470705,44.4,,manual,https://www.openstreetmap.org/way/1076781726
relation,8710570,yes,1970.0,51.148205,71.470189,44.4,,manual,https://www.openstreetmap.org/relation/8710570
way,925184213,yes,1965.0,51.195508,71.516857,44.3,,manual,https://www.openstreetmap.org/way/925184213
way,243299231,yes,1962.0,51.189615,71.343694,44.3,,manual,https://www.openstreetmap.org/way/243299231
way,1104676300,yes,1959.0,51.187148,71.453836,44.3,,manual,https://www.openstreetmap.org/way/1104676300
way,257237384,garage,1954.0,51.174399,71.377198,44.2,,manual,https://www.openstreetmap.org/way/257237384
way,1109634871,yes,1951.0,51.124589,71.369726,44.2,,manual,https://www.openstreetmap.org/way/1109634871
way,258110009,yes,1950.0,51.171844,71.461155,44.2,,manual,https://www.openstreetmap.org/way/258110009
way,1087935170,yes,1945.0,51.174535,71.397875,44.1,,manual,https://www.openstreetmap.org/way/1087935170
way,1056906843,yes,1945.0,51.161502,71.564647,44.1,,manual,https://www.openstreetmap.org/way/1056906843
relation,12433425,yes,1941.0,51.111957,71.43735,44.1,,manual,https://www.openstreetmap.org/relation/12433425
way,1086005551,yes,1941.0,51.191795,71.334508,44.1,,manual,https://www.openstreetmap.org/way/1086005551
way,1105503942,garage,1936.0,51.175987,71.381174,44.0,,manual,https://www.openstreetmap.org/way/1105503942
way,241234199,yes,1935.0,51.175439,71.422535,44.0,,manual,https://www.openstreetmap.org/way/241234199
way,241226040,yes,1934.0,51.169217,71.436415,44.0,,manual,https://www.openstreetmap.org/way/241226040
way,1124567227,yes,1934.0,51.246564,71.364729,44.0,,manual,https://www.openstreetmap.org/way/1124567227
way,1179971322,yes,1925.0,51.163922,71.536894,43.9,,manual,https://www.openstreetmap.org/way/1179971322
way,1117038211,yes,1923.0,51.13145,71.596243,43.8,,manual,https://www.openstreetmap.org/way/1117038211
way,1104676524,yes,1922.0,51.190304,71.466462,43.8,,manual,https://www.openstreetmap.org/way/1104676524
way,426105049,yes,1921.0,51.158951,71.534081,43.8,,manual,https://www.openstreetmap.org/way/426105049
way,242373782,yes,1921.0,51.157972,71.485716,43.8,,manual,https://www.openstreetmap.org/way/242373782
way,915412682,yes,1920.0,51.143084,71.418972,43.8,,manual,https://www.openstreetmap.org/way/915412682
way,914979621,yes,1919.0,51.077079,71.425801,43.8,,manual,https://www.openstreetmap.org/way/914979621
way,258110008,yes,1918.0,51.171188,71.462768,43.8,,manual,https://www.openstreetmap.org/way/258110008
way,428784996,yes,1918.0,51.152094,71.419032,43.8,,manual,https://www.openstreetmap.org/way/428784996
way,916105066,yes,1917.0,51.113885,71.498228,43.8,,manual,https://www.openstreetmap.org/way/916105066
way,167091810,yes,1917.0,51.160276,71.487762,43.8,,manual,https://www.openstreetmap.org/way/167091810
relation,8660746,yes,1916.0,51.157768,71.430018,43.8,,manual,https://www.openstreetmap.org/relation/8660746
way,243067467,yes,1915.0,51.127035,71.505704,43.8,,manual,https://www.openstreetmap.org/way/243067467
way,1056906840,yes,1912.0,51.160883,71.565371,43.7,,manual,https://www.openstreetmap.org/way/1056906840
way,257237387,garage,1909.0,51.176136,71.380936,43.7,,manual,https://www.openstreetmap.org/way/257237387
